"0","0","Max degree","Mean degree","inet efficiency","Max betweenness","Mean betweenness","Max closeness","Mean closeness","Max Page.Rank","Mean Page.Rank","Max Keinberg's centrality","Mean Max Keinberg's centrality","Total degree","Max Distance","Mean Distance","Connections to X1","Connections to X2","Connections to X3","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"0","0","1","0.0512820512820513","0.00229885057471264","0","0","0.000692520775623269","0.000675674445118298","0.132450331125828","0.0256410256410256","0","0","2","0.514876419535295","0.514876419535295","0","0","1","0","0","1","1","1","1","1","0","1"
"0","0","1","0.102564102564103","0.00459770114942529","0","0","0.000692520775623269","0.000676585057578026","0.108108108108108","0.0256410256410256","0","0","4","0.526026829185743","0.525341820345738","1","0","0","0","0","0","1","0","1","1","0","0"
"0","0","0","0","0","0","0","0.000674763832658569","0.000674763832658569","0.0256410256410256","0.0256410256410256","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","1","1"
"0","0","0","0","0","0","0","0.000674763832658569","0.000674763832658569","0.0256410256410256","0.0256410256410256","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0"
"0","0","0","0","0","0","0","0.000674763832658569","0.000674763832658569","0.0256410256410256","0.0256410256410256","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","1"
"0","0","2","0.205128205128205","0.00919540229885057","0","0","0.000711237553342817","0.000678480115940163","0.099009900990099","0.0256410256410256","0","0","8","0.574043273161425","0.533123827140539","1","0","2","0","0","0","0","0","1","0","0","1"
"0","0","1","0.0512820512820513","0.00229885057471264","0","0","0.000692520775623269","0.000675674445118298","0.132450331125828","0.0256410256410256","0","0","2","0.516199662879825","0.516199662879825","1","0","0","0","0","1","0","0","0","1","0","1"
"0","0","2","0.102564102564103","0.00574712643678161","1","0.0256410256410256","0.000711237553342817","0.000677543580438015","0.173745173745174","0.0256410256410256","0","0","4","0.549499906656973","0.537529481181831","1","0","0","1","0","0","1","0","0","1","0","0"
"0","0","1","0.0512820512820513","0.00229885057471264","0","0","0.000692520775623269","0.000675674445118298","0.132450331125828","0.0256410256410256","0","0","2","0.53725178596152","0.53725178596152","0","0","0","1","0","0","0","1","0","1","1","0"
"0","0","0","0","0","0","0","0.000674763832658569","0.000674763832658569","0.0256410256410256","0.0256410256410256","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0"
"0","0","0","0","0","0","0","0.000674763832658569","0.000674763832658569","0.0256410256410256","0.0256410256410256","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0"
"0","0","0","0","0","0","0","0.000674763832658569","0.000674763832658569","0.0256410256410256","0.0256410256410256","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"0","0","1","0.0512820512820513","0.00229885057471264","0","0","0.000692520775623269","0.000675674445118298","0.132450331125828","0.0256410256410256","0","0","2","0.505024850044433","0.505024850044433","1","0","0","0","0","1","0","0","1","1","1","1"
"0","0","2","0.102564102564103","0.00574712643678161","1","0.0256410256410256","0.000711237553342817","0.000677543580438015","0.173745173745174","0.0256410256410256","0","0","4","0.546972064596874","0.528694258781885","2","0","0","0","1","0","0","1","1","0","0","1"
"0","0","0","0","0","0","0","0.000674763832658569","0.000674763832658569","0.0256410256410256","0.0256410256410256","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0"
"0","0","2","0.102564102564103","0.00574712643678161","1","0.0256410256410256","0.000711237553342817","0.000677543580438015","0.173745173745174","0.0256410256410256","0","0","4","0.514876419535295","0.510747415129919","1","0","2","0","0","0","0","0","0","1","1","1"
"0","0","2","0.102564102564103","0.00574712643678161","1","0.0256410256410256","0.000711237553342817","0.000677543580438015","0.173745173745174","0.0256410256410256","0","0","4","0.565016469821404","0.545521649503573","1","0","0","0","0","0","1","0","1","1","0","0"
"0","0","7","0.358974358974359","0.0402298850574713","21","0.538461538461538","0.000822368421052632","0.000704316960831303","0.296976818715949","0.0256410256410256","0","0","14","0.658290834216276","0.540825942989328","7","0","1","0","1","0","0","0","1","0","1","1"
"0","0","3","0.153846153846154","0.0103448275862069","3","0.0769230769230769","0.000730994152046784","0.000680448956846014","0.20745069393718","0.0256410256410256","0","0","6","0.682522619146743","0.579415350195667","3","0","0","1","0","0","0","1","0","0","0","1"
"0","0","0","0","0","0","0","0.000674763832658569","0.000674763832658569","0.0256410256410256","0.0256410256410256","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0"
"0","0","12","0.615384615384615","0.103448275862069","66","1.69230769230769","0.000974658869395711","0.000771547701795211","0.358228050535743","0.0256410256410256","0","0","24","0.755717491350671","0.577883129419625","12","1","1","0","0","1","1","0","0","0","1","0"
"0","0","1","0.0512820512820513","0.00229885057471264","0","0","0.000692520775623269","0.000675674445118298","0.132450331125828","0.0256410256410256","0","0","2","0.589707884369845","0.589707884369845","1","0","0","0","0","1","1","1","0","0","1","0"
"0","0","0","0","0","0","0","0.000674763832658569","0.000674763832658569","0.0256410256410256","0.0256410256410256","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0"
"0","0","0","0","0","0","0","0.000674763832658569","0.000674763832658569","0.0256410256410256","0.0256410256410256","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"0","0","0","0","0","0","0","0.000674763832658569","0.000674763832658569","0.0256410256410256","0.0256410256410256","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","1"
"0","0","0","0","0","0","0","0.000674763832658569","0.000674763832658569","0.0256410256410256","0.0256410256410256","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","0","1"
"0","0","0","0","0","0","0","0.000674763832658569","0.000674763832658569","0.0256410256410256","0.0256410256410256","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0"
"0","0","1","0.102564102564103","0.00459770114942529","0","0","0.000692520775623269","0.000676585057578026","0.108108108108108","0.0256410256410256","0","0","4","0.52418491782282","0.512207664151468","1","0","1","1","0","1","1","0","1","0","0","0"
"1","1","33","1.94871794871795","0.688505747126437","519.5","13.4102564102564","0.0043859649122807","0.00345723518866643","0.39918693467781","0.0256410256410256","0","0","76","0.80721875","0.579453647912664","33","2","5","1","1","0","1","1","1","0","0","1"
"1","1","24","1.23076923076923","0.372413793103448","276","7.07692307692308","0.00175438596491228","0.00132495525645023","0.42684751171836","0.0256410256410256","0","0","48","0.732124234948417","0.579920159219943","24","1","1","1","1","0","0","0","0","1","1","0"
"1","1","5","0.307692307692308","0.0295019157088123","14","0.487179487179487","0.000796812749003984","0.000696167609376184","0.231732483395217","0.0256410256410256","0","0","12","0.746118492525396","0.592537380637515","2","1","5","1","1","0","1","0","1","0","1","0"
"1","1","33","1.69230769230769","0.682758620689655","528","13.5384615384615","0.0043859649122807","0.00345340669227309","0.451876336768423","0.0256410256410256","0","0","66","0.80721875","0.585532757184016","33","1","1","1","1","1","0","1","0","0","0","0"
"1","1","33","1.8974358974359","0.68735632183908","521","13.4358974358974","0.0043859649122807","0.00345647069774094","0.408710584096281","0.0256410256410256","0","0","74","0.80721875","0.580941864864865","33","1","5","0","1","1","1","1","0","0","0","0"
"1","1","2","0.205128205128205","0.0147509578544061","4","0.256410256410256","0.000750750750750751","0.000684361593408705","0.121755418785122","0.0256410256410256","0","0","8","0.745723413371549","0.606994520403611","2","2","2","0","0","1","1","1","1","1","0","0"
"1","1","33","1.8974358974359","0.68735632183908","521","13.4358974358974","0.0043859649122807","0.00345647069774094","0.408710584096281","0.0256410256410256","0","0","74","0.807218749812764","0.580933238222038","33","1","5","1","1","1","0","0","0","0","0","0"
"1","1","33","1.79487179487179","0.685057471264368","525.5","13.4871794871795","0.0043859649122807","0.00345493272242166","0.428491118020227","0.0256410256410256","0","0","70","0.80721875","0.583069778286523","33","2","2","0","0","0","0","0","1","0","1","0"
"1","1","33","1.8974358974359","0.68735632183908","521","13.4358974358974","0.0043859649122807","0.00345647069774094","0.408710584096281","0.0256410256410256","0","0","74","0.80721875","0.580941864864865","33","1","5","1","1","0","1","0","1","1","0","0"
"1","1","14","0.923076923076923","0.167816091954023","111","3.64102564102564","0.00114155251141553","0.000870038063738972","0.305353859814723","0.0256410256410256","0","0","36","0.746091655284078","0.556797373719048","14","1","4","1","1","0","0","0","1","1","1","0"
"1","1","27","1.64102564102564","0.495019157088123","368","10.1538461538462","0.00238663484486873","0.00184318289444819","0.37746974245991","0.0256410256410256","0","0","64","0.7461185","0.566119492807034","27","2","5","0","1","1","0","0","0","0","1","0"
"1","1","33","1.94871794871795","0.688505747126437","520.5","13.4102564102564","0.0043859649122807","0.00345723814036885","0.400937221484361","0.0256410256410256","0","0","76","0.80721875","0.579496732332342","33","1","5","0","0","0","0","1","1","1","0","1"
